tool_id	to_keep	reason
bioconductor-cellscore	False	profiles in BioContainers description
microscope_platform	False	metagenomes in bio.tools description
bioconductor-cancerinsilico	False	profiling in BioContainers keywords
haplotracker	False	profiles in bio.tools description
bioconductor-rhtslib	False	profiling in BioContainers keywords
mpress	False	microbiome in bio.tools description
netcom	False	Metagenomics in EDAM Topics
bioconductor-help	False	profiling in BioContainers keywords
shinymb	False	microbiome in bio.tools description
bioconductor-metabodynamics	False	profiles in bio.tools description
plassembler	False	Metagenomics in EDAM Topics
stream	False	profiling in BioContainers keywords
genomad	False	metagenomes in bio.tools description
spell	False	profiles in bio.tools description
orphelia	False	Metagenomics in EDAM Topics
plutof	False	metabarcoding in bio.tools description
binette	False	Metagenomics in EDAM Topics
acep	False	profiles in bio.tools description
aging_mouse_brain	False	profiling in bio.tools description
acrhub	False	plasmids in bio.tools description
whonet	False	antimicrobial in bio.tools description
meteor	False	Metagenomics in EDAM Topics
burrito	False	metagenomic in bio.tools description
bioconductor-smap	False	profiling in BioContainers keywords
bioconductor-mgfr	False	profiling in BioContainers keywords
pharokka	False	Metagenomics in EDAM Topics
tax4fun	False	16S in bio.tools description
gcprofilemaker	False	profilemaker in bio.tools description
deltabs	False	profile-based in BioContainers description
cnvpanelizer	False	amplicon in bio.tools description
applemdo	False	profiling in bio.tools description
st_viewer	False	Read binning in EDAM Operations
olivar	False	amplicon in bio.tools description
bioconductor-rnaseqpower	False	profiling in BioContainers keywords
v-xtractor	False	Metagenomics in EDAM Topics
inherit	False	Metagenomics in EDAM Topics
cpnclassiphyr	False	16S in bio.tools description
ribominer	False	profiling in bio.tools description
metagenome_assenbly	False	metagenomic in bio.tools description
raptor	False	Read binning in EDAM Operations
bioconductor-cellmapper	False	profiling in BioContainers keywords
metapredictor	False	metapredictor in bio.tools description
glycananalyzer	False	profiles in bio.tools description
twnbiome	False	microbiome in bio.tools description
lemon	False	Metagenomics in EDAM Topics
bin3c	False	Metagenomics in EDAM Topics
